game_id,player_id,player_name,player_role,number_of_votes,target_votes,times_spoken,average_utterance_length,accusation_influence,accusation_influence_on_votes,num_accusations,times_accused
game_play_20240629_195928,0,Alexandra,Villager,1,2,7,262.42857142857144,0.1078334364048649,0.8571428571428571,6,5
game_play_20240629_195928,1,Alexia,Seer,2,2,5,260.8,0.2327777777777778,1.0,4,8
game_play_20240629_195928,2,Vladimir,Werewolf,2,1,3,266.6666666666667,0.240454076367389,1.6666666666666667,3,2
game_play_20240629_195928,3,Emil,Villager,0,2,2,358.5,0.2895833333333333,2.0,2,0
game_play_20240629_195928,4,Semira,Minion,0,2,3,376.6666666666667,0.1388888888888888,1.6666666666666667,3,3
game_play_20240629_200058,0,Vladimir,Villager,4,1,8,215.125,0.1058035714285714,0.125,8,8
game_play_20240629_200058,1,Mircea,Mason,0,4,2,112.5,0.0263157894736842,0.5,2,6
game_play_20240629_200058,2,Marius,Mason,0,4,3,166.33333333333334,0.2847985347985348,2.6666666666666665,3,1
game_play_20240629_200058,3,Emil,Villager,1,4,4,204.0,0.2785669191919191,3.0,4,2
game_play_20240629_200058,4,Larisa,Werewolf,0,4,3,410.0,0.4243386243386243,4.0,3,3
game_play_20240629_200221,0,Larisa,Seer,0,4,2,250.5,0.1578947368421052,2.0,1,6
game_play_20240629_200221,1,Kraven,Werewolf,4,1,7,356.42857142857144,0.1761904761904762,0.5714285714285714,7,7
game_play_20240629_200221,2,Radu,Mason,0,4,2,370.0,0.2048611111111111,0.0,2,1
game_play_20240629_200221,3,Marius,Villager,1,4,7,308.7142857142857,0.2429475286618143,3.4285714285714284,7,5
game_play_20240629_200221,4,Ileana,Villager,0,4,2,230.5,0.2232142857142857,0.5,2,0
game_play_20240629_200412,0,Cristina,Werewolf,0,3,1,233.0,0.0476190476190476,0.0,1,1
game_play_20240629_200412,1,Kraven,Seer,3,2,5,220.4,0.1724206349206349,1.2,4,6
game_play_20240629_200412,2,Stefan,Villager,0,3,3,202.3333333333333,0.0666666666666666,0.6666666666666666,3,2
game_play_20240629_200412,3,Dracula,Mason,2,3,6,231.8333333333333,0.1559640522875817,1.0,6,5
game_play_20240629_200412,4,Vladimir,Villager,0,2,5,232.4,0.1555333555333555,2.8,5,5
game_play_20240629_200530,0,Mircea,Villager,0,2,4,205.75,0.0994674185463659,0.25,4,4
game_play_20240629_200530,1,Cristina,Werewolf,2,1,4,337.0,0.1021825396825396,1.75,4,3
game_play_20240629_200530,2,Ileana,Minion,0,2,2,324.5,0.1305555555555555,0.5,2,3
game_play_20240629_200530,3,Marius,Villager,2,2,4,298.25,0.1061163101604278,0.5,4,3
game_play_20240629_200530,4,Alexandra,Villager,1,2,6,266.1666666666667,0.07008547008547,1.0,4,5
game_play_20240629_200701,0,Alexandra,Minion,2,3,4,191.5,0.1452380952380952,2.25,4,4
game_play_20240629_200701,1,Marius,Werewolf,0,2,3,471.0,0.2253711201079622,2.6666666666666665,3,2
game_play_20240629_200701,2,Lucian,Villager,0,3,3,160.33333333333334,0.2704248366013072,2.0,2,2
game_play_20240629_200701,3,Mircea,Villager,3,2,8,180.75,0.1154852092352092,0.75,6,9
game_play_20240629_200701,4,Vladimir,Mason,0,3,2,309.5,0.2083333333333333,3.0,2,0
game_play_20240629_200827,0,Semira,Villager,0,2,7,228.0,0.1417440660474716,1.2857142857142858,6,5
game_play_20240629_200827,1,Dragos,Villager,0,3,4,192.5,0.2294507575757575,1.25,4,4
game_play_20240629_200827,2,Kraven,Mason,2,3,6,242.5,0.0846560846560846,1.0,6,6
game_play_20240629_200827,3,Lucian,Werewolf,3,2,3,301.3333333333333,0.2337606837606837,1.3333333333333333,3,4
game_play_20240629_200827,4,Viktor,Villager,0,3,0,0.0,0.0,0.0,0,0
game_play_20240629_201000,0,Vladimir,Villager,0,3,2,197.0,0.0476190476190476,0.0,1,2
game_play_20240629_201000,1,Ileana,Mason,0,3,2,272.5,0.025,1.5,1,4
game_play_20240629_201000,2,Semira,Minion,0,2,3,383.0,0.1869281045751634,1.3333333333333333,2,1
game_play_20240629_201000,3,Emil,Villager,2,3,6,352.6666666666667,0.1496031746031746,1.5,6,6
game_play_20240629_201000,4,Andrei,Werewolf,3,2,7,471.2857142857143,0.1390997890997891,1.1428571428571428,7,4
game_play_20240629_201156,0,Ileana,Werewolf,0,4,3,332.6666666666667,0.0158730158730158,1.3333333333333333,3,5
game_play_20240629_201156,1,Semira,Villager,0,4,2,159.0,0.2923076923076923,2.0,2,2
game_play_20240629_201156,2,Lucian,Villager,0,4,3,132.33333333333334,0.3026455026455026,3.0,3,1
game_play_20240629_201156,3,Andrei,Seer,1,4,5,257.8,0.2302941176470588,2.4,5,5
game_play_20240629_201156,4,Kraven,Mason,4,1,7,263.57142857142856,0.1193310657596371,0.5714285714285714,7,7
game_play_20240629_201326,0,Dracula,Villager,4,1,9,184.77777777777777,0.0996576408341114,0.4444444444444444,9,7
game_play_20240629_201326,1,Ileana,Villager,1,4,6,160.83333333333334,0.2578590999643631,2.6666666666666665,6,4
game_play_20240629_201326,2,Stefan,Werewolf,0,4,3,378.6666666666667,0.1805555555555555,2.6666666666666665,3,3
game_play_20240629_201326,3,Selene,Mason,0,4,2,174.5,0.1,2.0,1,5
game_play_20240629_201326,4,Dragos,Minion,0,4,0,0.0,0.0,0.0,0,0
game_play_20240629_201447,0,Dragos,Minion,3,2,6,338.6666666666667,0.0775296827928406,0.3333333333333333,5,6
game_play_20240629_201447,1,Alexia,Villager,0,3,6,287.3333333333333,0.1891432641432641,2.5,6,6
