Unnamed: 0,player_count,discussion_depth,use_gpt4,use_claude_opus,render_markdown,w_flag,s_flag,base_flag,win,loss
0,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
1,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
2,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
3,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
4,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
5,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
6,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
7,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
8,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
10,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
11,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
12,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
13,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
14,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
15,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
16,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
17,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
18,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
19,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
20,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
21,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
22,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
23,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
24,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
25,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
26,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
27,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
29,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
30,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
31,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
32,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
33,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
34,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
35,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
36,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
38,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
39,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
40,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
41,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
42,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
43,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
45,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
46,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
47,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
48,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
49,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
50,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
52,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,0,1
53,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
54,5,20,True,True,True,OpenAI_Player,OpenAI_Player,OpenAI_Player,1,0
