,player_count,discussion_depth,use_gpt4,use_claude_opus,render_markdown,w_flag,s_flag,base_flag,win,loss
0,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
1,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
2,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
3,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
4,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
5,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
6,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
7,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
8,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
9,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
10,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
11,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
12,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
13,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
14,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
15,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
16,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
17,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
18,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
19,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
20,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
21,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
22,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
23,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
24,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
25,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
26,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
27,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
28,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
29,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
30,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
31,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
32,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
33,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
34,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
35,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
36,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
37,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
38,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
39,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
40,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
41,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
42,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
43,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
44,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
45,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
46,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
47,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,0,1
48,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0
49,5,30,True,True,True,Anthropic_Player,OpenAI_Player,OpenAI_Player,1,0


